round,number,driver,raw_status,started,on_road_finish,note,source
9,10,Pierre GaslyGAS,+30.021s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,31,Esteban OconOCO,+30.313s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,27,Nico HulkenbergHUL,+30.824s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,20,Kevin MagnussenMAG,+31.253s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,77,Valtteri BottasBOT,+40.487s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,22,Yuki TsunodaTSU,+52.694s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,55,Carlos SainzSAI,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,23,Alexander AlbonALB,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,11,Sergio PerezPER,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,16,Charles LeclercLEC,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,2,Logan SargeantSAR,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
10,1,Max VerstappenVER,1:28:20.227,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,4,Lando NorrisNOR,+2.219s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,44,Lewis HamiltonHAM,+17.790s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,63,George RussellRUS,+22.320s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,16,Charles LeclercLEC,+22.709s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,55,Carlos SainzSAI,+31.028s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,81,Oscar PiastriPIA,+33.760s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,11,Sergio PerezPER,+59.524s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,10,Pierre GaslyGAS,+62.025s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,31,Esteban OconOCO,+71.889s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,27,Nico HulkenbergHUL,+79.215s,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,14,Fernando AlonsoALO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,18,Lance StrollSTR,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,3,Daniel RicciardoRIC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,20,Kevin MagnussenMAG,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,23,Alexander AlbonALB,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
10,2,Logan SargeantSAR,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
11,63,George RussellRUS,1:24:22.798,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,81,Oscar PiastriPIA,+1.906s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,55,Carlos SainzSAI,+4.533s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,44,Lewis HamiltonHAM,+23.142s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
